Name,Phone,E-mail,Address,Star Rating,Reviews,Business Activities,PostCode,URL
Furnace Heating Co,01279 415 628,mike.furnace@gmail.com,"80/81 Burnt Mill Corner, Eastwick, Harlow, CM20 2FG",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",CM14,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2947&aphcScheme=Licensed%20Scheme
Nazeing Heating Limited,01992892083,sue@nazeingheating.co.uk,"91 North Street, Nazeing, EN9 2NJ",4,4 ,,CM14,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17269&aphcScheme=Licensed%20Scheme
Plumbsa Plumbing Ltd,07977566502 ali,ali@plumbsa.co.uk,"11 Cambridge Road, Sawbridgeworth, CM21 9JP",,,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",CM14,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17215&aphcScheme=Licensed%20Scheme
Plumbline Emergency Plumbers,0800 731 0255,plumblineinst@aol.com,"109 Broadlands Avenue, Enfield, EN3 5AF",5,2 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3834&aphcScheme=Licensed%20Scheme
Acumen Mechanical Electrical Construction Ltd,07950 918840,office@acumec.co.uk,"Unit 52 Hoddesdon Enterprise Centre, Pindar Road, Hoddesdon, EN11  0FJ",,,,CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17147&aphcScheme=Licensed%20Scheme
FloEnergy Ltd,07802368928,contactus@energyflo.co.uk,"4 Maple Park, Hoddesdon, EN11 0EX",3.4000,27 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17034&aphcScheme=Licensed%20Scheme
Duplex Care Ltd,07544861778,lee@duplexcare.co.uk,"Unit 11 Watermark Way, John Tate Road, Foxholes Business Park, SG13 7TZ",,,,CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17220&aphcScheme=Licensed%20Scheme
JMR Heating Services Ltd,0776 9111140,james@jmrheatingservices.co.uk,"19 St Johns Court, Lady Margaret Gardens, Ware, SG12 7SE",4.8000,10 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6479&aphcScheme=Licensed%20Scheme
NCS Property Maintenance,01992 535 236,dave@ncspropertymaintenance.co.uk,"32 Chamber Street, Hertford, SG14 1PL",4.6000,46 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2992&aphcScheme=Licensed%20Scheme
LP Maintenance & Repairs Ltd,07435 236 443,iliaskyr78@yahoo.com,"84 Aldermans  Hill, Palmers Green, N13 4PP",,,,CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3866&aphcScheme=Licensed%20Scheme
PJ Margle Heating Ltd,01279 506 767,office@pjmargleheatingltd.co.uk,"Unit 6,, Southmill Trading Centre, Bishop's Stortford, CM23 3DY",4.2000,6 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2730&aphcScheme=Licensed%20Scheme
Kaizen Heating and Plumbing,07950322321,kaizenheatingandplumbing@gmail.com,"Flat 11 Hazlitt Court, 80 Northwold Road, London, E5 8BN",4.9000,48 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17344&aphcScheme=Licensed%20Scheme
Harpers Heating & Plumbing Ltd,07885 597 063,info@harpersplumbing.co.uk,"Unit i4, Peek Business Centre, Woodside, Bishop's Stortford, CM23 5RG",4.1000,14 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables",CM16,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3928&aphcScheme=Licensed%20Scheme
Urang Cleaning & Maintenance Ltd,07590 775151,James.mark@urang.co.uk,"196 New Kings Road, London, SW6 4NF",2.6000,124 ,,CR0,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17138&aphcScheme=Licensed%20Scheme
iPlumb & Heat Ltd,07850675543,Declancj.white@btinternet.com,"88 Rosebery Road, Langley Vale, Epsom Downs, Epsom, KT18 6AA",5,2 ,,CR0,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17333&aphcScheme=Licensed%20Scheme
EHV Services (Maintenance) Ltd,01737 373 655,mailroom@ehvservices.com,"23 Nork Way, Banstead, SM7 1PB",4.6000,40 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",CR0,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3035&aphcScheme=Licensed%20Scheme
C Anderson & Sons,0207 386 8888,crawfordanderson@hotmail.co.uk,"25 Filmer Road, Fulham, SW6 7BP",3.8000,360 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables",CR0,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2991&aphcScheme=Licensed%20Scheme
Industraheat,01372 277 261,dawn.cartmel@industraheat.co.uk,"67 Woodfield Lane, Ashtead, KT21 2DR",5,1 review,"Heating systems and fossil fuel appliances, Hot Water Appliances, Ventilation and air conditioning",CR2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3045&aphcScheme=Licensed%20Scheme
Optimus Heating Ltd,07432 158528,Luke.sheppard@hotmail.co.uk,"Belle Cottage, Horley Row, Horley, Surrey, RH6 8BE",5,3 ,,CR3,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17031&aphcScheme=Licensed%20Scheme
Sutton & East Surrey Water Services Ltd,0208 722 7005,robyn.cattermole@seshomeservices.co.uk,"Pixham End, Dorking, RH4 1GB",1,1 review,,CR3,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2983&aphcScheme=Licensed%20Scheme
Dore Woodman Ltd,07711232158-ben,info@dorewoodman.co.uk,"C2 Windsor Place,, Faraday Road,, Crawley, West Sussex, RH10 9TF",4.2000,5 ,,CR3,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=12361&aphcScheme=Licensed%20Scheme
Nathan Wyatt Plumbing & Heating Ltd,07986 486874,info@nathanwyattheating.co.uk,"6 Knepp Close, Poundhill, Crawley, RH10 7AS",5,3 ,,CR3,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=15958&aphcScheme=Licensed%20Scheme
Direct Plumb (London) Ltd,07948099935,f.asif@dpllimited.co.uk,"85 Great Portland Street, First Floor, London, W1W 7LT",,,,CR4,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17273&aphcScheme=Licensed%20Scheme
Kenos Plumbing & Heating Ltd,0775 965 5525,kenosplumbingandheating@gmail.com,"3rd Floor, 207 Regents Street, London, W1B 3HH",,,,CR4,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6546&aphcScheme=Licensed%20Scheme
Landlord Certs London Ltd,07379391014,submissions@landlordcertslondon.co.uk,"International House, 142 Cromwell Road, London, SW7 4EF",4.1000,324 ,,CR4,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17202&aphcScheme=Licensed%20Scheme
Miron Energy Efficiency Ltd,07742649014,mirondanu92@gmail.com,"85 Great Portland Street, 1st Floor, London, W1W 7LT",,,,CR4,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17146&aphcScheme=Licensed%20Scheme
Genesis Technical Services (London),0208 813 5642,info@genesistechnical.net,"8 Adelaide Terrace, Great West Road, Brentford, TW8 9PQ",,,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances",CR4,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=3349&aphcScheme=Licensed%20Scheme
QDS Group Ltd,0208 805 9592,info@qdsgroup.co.uk,"35 Grafton Way, W1T 5DB",4.5,8 ,,CR4,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=4074&aphcScheme=Licensed%20Scheme
EPG Domestic,07766056067,geoff@epg-domestic.co.uk,"2 Champion Down, Effingham, Leatherhead, KT24 5NQ",4.5,2 ,,CR5,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17030&aphcScheme=Licensed%20Scheme
1st About Plumbing & Carpentry Ltd,01634 730 300,tania@1stap.co.uk,"26b Chapter Road, Rochester, ME2 3PX",3,2 ,"Heating systems and fossil fuel appliances, Plumbing Appliances, Hot Water Appliances, Renewables",DA1,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=2989&aphcScheme=Licensed%20Scheme
Ellwood Mechanical Services,07412 676 593,neil@ellwoodms.co.uk,"Innovation Centre Medway, Maidstone Road, Chatham, ME5 9FD",,,"Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables",DA2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=6501&aphcScheme=Licensed%20Scheme
Primech Building Services Ltd,07545 899081,jamieshewring@primechservices.com,"Unit 7, M2M Business Park, Rochester, ME1 3DQ",4,8 ,"Heating systems and fossil fuel appliances, Electrical Appliances, Plumbing Appliances, Hot Water Appliances, Renewables, Ventilation and air conditioning",DA2,https://aphc.co.uk/member-search-detail/?aphcCompanyIdentity=17135&aphcScheme=Licensed%20Scheme
