Title,Article Id,Date,Category,Has Audio,Summary,URL
"#2395 Pour, Poor Sarah",1196550545,"November 11, 2023",Podcasts & Shows,True,"Sarah was just trying to keep hydrated with her oversized water bottle always by her side in her Saab. Somewhere along the way, the car developed it's own thirst, too and now Sarah has to pour water on it to get the lights to turn on. Find out if there's a happy ending to Sarah's Saab story on this episode of the Best of Car Talk.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/11/1196550545/best-of-car-talk-draft-11-11-2023
#2393: The Rockford Files,1196550538,"November 4, 2023",Podcasts & Shows,True,"Pete is a private eye in OH staking out some ne'er do well at the local no-tell motel, but his Ford Aerostar isn't producing any heat. Can Click and Clack assist this investigation or will Pete continue  to freeze his tucchus while watching all that hot motel room action? Check out the action right here on this episode of the Best of Car Talk. And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/04/1196550538/best-of-car-talk-draft-11-04-2023
#2396: The Perfect Repair,1196550555,"November 14, 2023",Podcasts & Shows,True,"Dee from Freeport, Maine has a pickup truck that sounds like 'distressed ducks' as he chugs along. Can Click and Clack locate the ducks' nest hidden somewhere in Dee's truck or will he have to wait until they fly south for the winter? Find out on this episode of the Best of Car Talk.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/14/1196550555/best-of-car-talk-draft-11-14-2023
#2397: The Golf Widow,1196550576,"November 18, 2023",Podcasts & Shows,True,"Of the two kinds of 'golf widows', Linda is the happy kind -more than willing to let her husband waste hours smacking a little ball around a field while she enjoys some time of her own. But Linda's quality time is threatened by hubby's golf cart acting up. Can Click and Clack the Golf(cart) Pros come to Linda's rescue? Find out on this episode of the Best of Car Talk.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/18/1196550576/-2397-the-golf-widow
#2399: A Few Bad Leasing Strategies,1196550584,"November 25, 2023",Podcasts & Shows,True,"Kathleen commutes 100 miles per day in her leased Chrysler and the excess mileage charges are going to clobber her when she returns the car in a few years. She wants to know how likely would it be for the odometer to suddenly stop working, and could Click and Clack explain in detail how that might happen? Will they or won't they? Find out on this episode of the Best of Car Talk.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/25/1196550584/best-of-car-talk-draft-11-25-2023
#2398: Autocide,1196550581,"November 21, 2023",Podcasts & Shows,True,"Leslie from Washington parked her crummy Chrysler K car on a hill one day only to return later and watch it rolling backwards and into a tree. She's sure that she had placed the car in park when she left it. Is there a mechanical explanation for this or did the ol' bucket of bolts decide on it's own to end it all? Find out on this episode of the Best of Car Talk.   And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/21/1196550581/best-of-car-talk-draft-11-21-2023
#23100: Mechanics vs Lawyers,1196550588,"November 28, 2023",Podcasts & Shows,True,"On this episode of the Best of Car Talk, Dorothea wants to sue her mechanic. Now you might expect Click and Clack to stand up for a fellow professional, but instead they take a few swings at a profession even lower on the 'trustworthiness scale' than car mechanics: lawyers.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/11/28/1196550588/best-of-car-talk-draft-11-28-2023
#23101: You're Done For!,1196550607,"December 2, 2023",Podcasts & Shows,True,"Joy's Cadillac has been making a cute little noise for a while and she called Car Talk for a little reassurance that it wasn't anything major. Click and Clack, customer service professionals that they are, managed to administer last rites with a smile on this episode of the Best of Car Talk.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/12/02/1196550607/best-of-car-talk-draft-12-02-2023
#23102: Electric Brakes for Dummies,1196550626,"December 5, 2023",Podcasts & Shows,True,"Paul needs help with the electric brakes on his cattle trailer. Click and Clack have lots of ideas but only one question for Paul: ""How do electric brakes work, exactly?"" Enlightenment ensues on this episode of the Best of Car Talk.  And if you want to listen to more Car Talk, sign up for Car Talk+ Car Talk+ is the easiest way for fans to access more than 800 Car Talk episodes, wherever you listen to podcasts. Find out more at plus.npr.org/cartalk or find the Car Talk channel in Apple Podcasts.",https://www.npr.org/2023/12/05/1196550626/best-of-car-talk-draft-12-05-2023
Bob and Erin Odenkirk talk poetry and debate the who's funniest member of the family,1198908024,"September 30, 2023",Podcasts & Shows,True,"These days, most people celebrate Bob Odenkirk as an actor, but he spent most of his career as writer, mainly of brilliant sketch comedy. But for years he was also writing poems, in collaboration with his children, and the family has now published a book of those poems, with illustrations by his daughter Erin Odenkirk.",https://www.npr.org/2023/09/30/1198908024/bob-and-erin-odenkirk-debate-on-the-funniest-member-of-the-family
Solicitor General Elizabeth Prelogar on the Supreme Court and being Miss Idaho,1198908040,"October 7, 2023",Podcasts & Shows,True,"The United States Government, like anybody else, sometimes needs a lawyer. And it has one: a high ranking officer in the Department of Justice known as the Solicitor General, whose job is to argue for the Government in court, most importantly the Supreme Court. That office, once occupied by two future Supreme Court Justices is now held by Elizabeth Prelogar, and we are delighted she joins us this week. We'll see if she can argue her way to a win.",https://www.npr.org/2023/10/07/1198908040/solicitor-general-elizabeth-prelogar-on-the-supreme-court-and-being-miss-idaho
"Our 25th Anniversary Spectacular continues with John Goodman, Jenny Slate, and more!",1198908103,"October 14, 2023",Podcasts & Shows,True,"We're celebrating 25 years on the air with another dive into our archive. Enjoy interviews with John Goodman, Sam Waterston, Jenny Slate, and a never-before-heard Bluff game!",https://www.npr.org/2023/10/14/1198908103/our-25th-anniversary-spectacular-continues
James Patterson talks writing stories and fighting Norman Mailer,1198908118,"October 21, 2023",Podcasts & Shows,True,"James Patterson is the best selling author in the world. Honestly, he may be the best selling author in all of history, apart from God. He's written more than 60 New York Times bestsellers, in every genre – thriller, mystery, romance, and young adult, and he's collaborated with many different authors, including Bill Clinton and Dolly Parton. His latest is Twelve Months To Live, written with Mike Lupica, and he joins us to talk about feuds, fights, outlines, and airports.",https://www.npr.org/2023/10/21/1198908118/wait-wait-dont-tell-me-draft-10-21-2023
Oscar-winning lyricist Bernie Taupin talks about his new memoir and Elton John,1198908160,"October 28, 2023",Podcasts & Shows,True,"Bernie Taupin first started writing lyrics for Elton John when they were both teenagers and they've collaborated on over 30 albums since then. He's also written for Alice Cooper, Heart, and Jefferson Starship; he's collaborated on movie soundtracks and Broadway musicals; won an Oscar; and even won a Peter, the award guest host Peter Grosz personally bestow upon people who he thinks are as amazing as they are intimidating. But, can he win our quiz?",https://www.npr.org/2023/10/28/1198908160/bernie-taupin-talks-his-new-memoir
John Stamos talks joining the Beach Boys and being SO. HANDSOME. ,1198908209,"November 11, 2023",Podcasts & Shows,True,"Over his 40 year career, John Stamos has done it all, from soap operas to serious dramas, but he'll likely always be associated with one show:",https://www.npr.org/2023/11/11/1198908209/john-stamos-talks-being-ridiculously-handsome
Large carnivore ecologist Dr. Rae Wynn-Grant talks black bears and gummy bears,1198908185,"November 4, 2023",Podcasts & Shows,True,"When Rae Wynn-Grant was growing up, her parents only allowed her to watch educational TV and nature shows, and their nefarious plan worked: She's become the nation's leading expert on large carnivores – Lions and tigers and bears, oh my! She's also one of the hosts of the reboot of",https://www.npr.org/2023/11/04/1198908185/dr-rae-wynn-grant-talks-bear-attacks-and-gummy-bears
Dakota Johnson talks learning to drive on set and watching The O.C.,1198908271,"December 2, 2023",Podcasts & Shows,True,"Dakota Johnson is an actor, producer, and activist who rose to fame with the",https://www.npr.org/2023/12/02/1198908271/wait-wait-dont-tell-me-draft-12-02-2023
"Happy Thanksgiving with Adam Savage, Jane Curtin, and more!",1198908242,"November 25, 2023",Podcasts & Shows,True,Hannah Kearney competes in the women's freestyle skiing aerials qualification at the Vancouver Winter Olympics in 2010.,https://www.npr.org/2023/11/25/1198908242/happy-thanksgiving-with-adam-savage-jane-curtin-and-more
L.L. Bean CEO Stephen Smith answers questions about jelly beans,1198908222,"November 18, 2023",Podcasts & Shows,True,"You can live in Maine for years and never be accepted as a true Mainer... but, even then, you",https://www.npr.org/2023/11/18/1198908222/l-l-bean-ceo-stephen-smith-answers-questions-about-jelly-beans
Jack Handey,1197954511,"November 7, 2023",Podcasts & Shows,True,Jack Handey is a great writer.,https://www.npr.org/2023/11/07/1197954511/jack-handey
Fashion Designer Carla Fernández ,1197954485,"November 3, 2023",Podcasts & Shows,True,"""Carla Fernández. L'avenir fait main"" in Paris at la Galerie du 19M",https://www.npr.org/2023/11/03/1197954485/carla-fernandez
"Will Oldham, aka Bonnie ""Prince"" Billy, on the song that changed his life",1197954536,"November 10, 2023",Podcasts & Shows,True,"is a segment where some of our favorite artists set aside their ""singing mic"" and pick up their ""talking mic"" to tell us about the songs that make them who they are. This time around, we're joined by singer-songwriter Will Oldham.",https://www.npr.org/2023/11/10/1197954536/will-oldham
Daniel Clowes,1197954609,"November 14, 2023",Podcasts & Shows,True,"US cartoonist Daniel Clowes poses on January 31, 2017, in Paris.",https://www.npr.org/2023/11/14/1197954609/bullseye-with-jesse-thorn-daniel-clowes
Comedian George Wallace,1197954658,"November 21, 2023",Podcasts & Shows,True,"LAS VEGAS - SEPTEMBER 06: Comedian/actor George Wallace performs during the 44th annual Labor Day Telethon to benefit the Muscular Dystrophy Association at the South Point Hotel & Casino September 6, 2009 in Las Vegas, Nevada. (Photo by Ethan Miller/Getty Images)",https://www.npr.org/2023/11/21/1197954658/comedian-george-wallace
Jillian and Mariko Tamaki,1197954636,"November 17, 2023",Podcasts & Shows,True,"Jillian and Mariko Tamaki's latest graphic novel,",https://www.npr.org/2023/11/17/1197954636/jillian-mariko-tamaki
Devendra Banhart on the song that changed his life,1197954687,"November 24, 2023",Podcasts & Shows,True,Devendra Banhart,https://www.npr.org/2023/11/24/1197954687/bullseye-with-jesse-thorn-devendra-banhart
Nile Rodgers,1197954715,"November 28, 2023",Podcasts & Shows,True,"Nile Rodgers of the band Chic performs at Bridgestone Arena on June 13, 2023 in Nashville, Tennessee.",https://www.npr.org/2023/11/28/1197954715/nile-rodgers
Steven Universe's Rebecca Sugar,1197955809,"December 1, 2023",Podcasts & Shows,True,Rebecca Sugar speaks on stage during,https://www.npr.org/2023/12/01/1197955809/steven-universes-rebecca-sugar
Steven Wright ,1197955842,"December 5, 2023",Podcasts & Shows,True,Actor and comedian Steven Wright,https://www.npr.org/2023/12/05/1197955842/bullseye-with-jesse-thorn-draft-12-05-2023
The story behind soaring myopia among kids,1213518599,"November 17, 2023",Podcasts & Shows,True,"The World Health Organization warns that by 2030, 40% of the world's population will be nearsighted. In the U.S. alone,",https://www.npr.org/2023/12/01/1213518599/the-story-behind-soaring-myopia-among-children
Stressed out? It might not just be in your head. How your muscles affect your mood,1213518646,"November 17, 2023",Podcasts & Shows,True,A lot of us associate our neck and back pain with spending hours hunched over our devices. We also know that good posture and core strength can help prevent those aches and pains. But researchers say it can also help us feel less stress.,https://www.npr.org/2023/12/08/1213518646/how-posture-and-movement-impact-our-mood
Overwhelmed by doom scrolling? Time to check in with your body,1213518648,"November 17, 2023",Podcasts & Shows,True,"Your nervous system is constantly bombarded with sensory signals from all around you — whether in your real or online life — and it can adversely affect your mental health, researchers say.",https://www.npr.org/2023/12/15/1213518648/how-information-overload-impacts-our-mental-health
"Over 20,000 joined the NPR/Columbia study to move throughout the day. Did it work?",1213518650,"November 17, 2023",Podcasts & Shows,True,"For the past few weeks, host Manoush Zomorodi has been exploring the relationship between our technology and our bodies — from how our species adopted",https://www.npr.org/2023/12/22/1213518650/changing-our-sedentary-screen-filled-habits
'Scott Pilgrim Takes Off'—and levels up,1197958397,"November 22, 2023",Podcasts & Shows,True,Mary Elizabeth Winstead and Michael Cera return as the voices of Ramona Flowers and Scott Pilgrim in Netflix's,https://www.npr.org/2023/11/22/1197958397/scott-pilgrim-takes-off-and-levels-up
Living for the Dead,1191165617,"August 1, 2023",Podcasts & Shows,True,"There are people who help us at every stage of life –– from the moment we're born to our last breath. But at the end, who's helping us when we're gone? On the season finale of the StoryCorps Podcast, twin mortician brothers look back on a life of caring for the dead.",https://www.npr.org/2023/07/31/1191165617/living-for-the-dead
The Basement,663152331,"November 5, 2018",Podcasts & Shows,True,"Kyle Stephens was first abused by Larry Nassar, a family friend, at the age of 6.",https://www.npr.org/2018/11/01/663152331/the-basement
How He Got Away,661035710,"October 29, 2018",Podcasts & Shows,True,Brianne Randall-Gay was 17 when she reported Larry Nassar in 2004.,https://www.npr.org/2018/10/26/661035710/how-he-got-away
StoryCorps Then and Now: StoryCorps is Born,1199533172,"October 24, 2023",Podcasts & Shows,True,"In this episode, we go back 20 years to the origins of StoryCorps–the challenges of building a recording booth in Grand Central Terminal– and we catch up with the participants from the first ever radio story we broadcast on NPR.",https://www.npr.org/2023/10/24/1199533172/story-corps-draft-10-24-2023
EXTRA: Why I'm On This Earth,1199532017,"September 26, 2023",Podcasts & Shows,True,"As StoryCorps' 20th anniversary approaches, we'll be looking back at important moments both in our history and the country's. This week — one more short story from our Military Voices Initiative. Sergeant Ocean Subiono tells his father, Russell Subiono, about what happened when he tried to enlist.",https://www.npr.org/2023/09/26/1199532017/story-corps-draft-09-26-2023
EXTRA: The Kids From North Baghdad ,1199531964,"September 19, 2023",Podcasts & Shows,True,"In celebration of our 20th Anniversary, StoryCorps will be revisiting some of our most memorable conversations from the past two decades. This week, we announce an upcoming special series with this short story from our Military Voices Initiative.",https://www.npr.org/2023/09/19/1199531964/story-corps-draft-09-19-2023
StoryCorps Then and Now: Love Letters,1199533174,"October 31, 2023",Podcasts & Shows,True,"As we continue celebrating StoryCorps' 20th anniversary, we bring you two of our favorite stories that made a strong impression on our listeners, and we share updates with the participants from the last two decades.",https://www.npr.org/2023/10/31/1199533174/story-corps-draft-10-31-2023
StoryCorps Then and Now: On the Road,1199533176,"November 7, 2023",Podcasts & Shows,True,"In the third episode of our special series celebrating two decades of StoryCorps, we're bringing you inside the Mobile Booth—the recording studio we built in a trailer to circle the country, capturing voices that would otherwise never be recorded. Hear some of our favorite stories from the road, and from the people who haul the trailer on a never-ending road trip.",https://www.npr.org/2023/11/07/1199533176/story-corps-draft-11-07-2023
StoryCorps Then and Now: Family Pride,1199533950,"November 28, 2023",Podcasts & Shows,True,"StoryCorps' initiatives have long helped us gather voices that are usually omitted from the historical record, like our LGBTQ+ Outloud initiative. In our continuing celebration of twenty years of StoryCorps, we're sharing some of our favorite recordings from that collection... and how a story close to our founder Dave Isay's heart helped lead to its creation.",https://www.npr.org/2023/11/28/1199533950/story-corps-draft-11-28-2023
StoryCorps Then and Now: Beyond the Booth,1199533182,"November 21, 2023",Podcasts & Shows,True,"For most of StoryCorps' existence, we've recorded people in person at our storybooths. But on this episode of our special series celebrating 20 years of StoryCorps, we're looking back to when we stepped outside the recording booth to capture stories. Sometimes because we wanted to hear new voices... and sometimes because we had to.",https://www.npr.org/2023/11/21/1199533182/story-corps-draft-11-21-2023
StoryCorps Then and Now: The Griot of Knoxville,1199533178,"November 14, 2023",Podcasts & Shows,True,"As we celebrate StoryCorps' 20th anniversary, we bring you the story of a man who integrated his high school as a teenager in Knoxville, Tennessee, and how a StoryCorps listener comment helped him reckon with his past five decades later.",https://www.npr.org/2023/11/14/1199533178/story-corps-draft-11-14-2023
StoryCorps Then and Now: Mother Mary,1199534031,"December 5, 2023",Podcasts & Shows,True,"Mary Johnson-Roy first came to StoryCorps in 2011 to speak with Oshea Israel, the man who murdered her son. In the latest episode from our special series celebrating StoryCorps' 20th anniversary, we'll share updates on a conversation none of us imagined would happen back when StoryCorps started.",https://www.npr.org/2023/12/05/1199534031/story-corps-draft-12-05-2023
Gaslighting,666227595,"November 12, 2018",Podcasts & Shows,True,"Amanda Thomashow was a graduate student at Michigan State University in 2014, when she was abused by Larry Nassar.",https://www.npr.org/2018/11/09/666227595/gaslighting
The Parents,669669746,"November 26, 2018",Podcasts & Shows,True,"Even now, the parents of survivors question how they could have been deceived by Larry Nassar.",https://www.npr.org/2018/11/20/669669746/the-parents
"Larry Nassar's Survivors Speak, And Finally The World Listens — And Believes",674525176,"December 10, 2018",Podcasts & Shows,True,"For one week in January 2018, hundreds of women and girls told their stories about Larry Nassar's abuse.",https://www.npr.org/2018/12/07/674525176/larry-nassars-survivors-speak-and-finally-the-world-listens-and-believes
"For One Nassar Survivor, Recognizing Her Own Abuse Took Decades — And 2 Key Moments",672011296,"December 3, 2018",Podcasts & Shows,True,"Trinea Gonczar once trusted Larry Nassar, without question.",https://www.npr.org/2018/11/29/672011296/for-one-nassar-survivor-recognizing-her-own-abuse-took-decades-and-2-key-moments
NPR's 'No Compromise',918240156,"September 29, 2020",Podcasts & Shows,True,"An investigation of an influential family of pro-gun activists who think the NRA is too soft on guns. They're demanding an end to all gun regulations and permitting. And guns are just the beginning of the story. Today we bring you episode 3 of the new NPR podcast ""No Compromise"" by Guns & America reporters Lisa Hagen and Chris Haxel.",https://www.npr.org/2020/09/29/918240156/nprs-no-compromise
"Larry Nassar Is Behind Bars, But Work Continues For His Survivors",676546089,"December 17, 2018",Podcasts & Shows,True,"For Larry Nassar's survivors, including Rachael Denhollander, life is now very different.",https://www.npr.org/2018/12/13/676546089/larry-nassar-is-behind-bars-but-work-continues-for-his-survivors
It's Been a Minute: Pressing pause on 'Killers of the Flower Moon',1197958425,"November 23, 2023",Podcasts & Shows,True,Lily Gladstone and Leonardo DiCaprio in,https://www.npr.org/2023/11/23/1197958425/its-been-a-minute-killers-of-the-flower-moon
Disney's 'Wish' conjures up familiar dreams,1197958456,"November 27, 2023",Podcasts & Shows,True,Ariana DeBose as Asha in,https://www.npr.org/2023/11/27/1197958456/disneys-wish-conjures-up-familiar-dreams
Alt.Latino: Peso Pluma and the rise of regional Mexican music,1197958447,"November 24, 2023",Podcasts & Shows,True,,https://www.npr.org/2023/11/24/1197958447/alt-latino-peso-pluma-and-the-rise-of-regional-mexican-music
"Yippy-ki-yay, it's 'Die Hard' season again",1197958476,"November 28, 2023",Podcasts & Shows,True,Bruce Willis in a scene from,https://www.npr.org/2023/11/28/1197958476/yippy-ki-yay-its-die-hard-season-again
Three songs for when your flight is delayed,1197958522,"November 30, 2023",Podcasts & Shows,True,"When you're stuck at the airport, you need the right soundtrack.",https://www.npr.org/2023/11/30/1197958522/three-songs-for-when-your-flight-is-delayed
'May December' shines a glaring light on a dark tabloid story,1197958539,"December 1, 2023",Podcasts & Shows,True,Natalie Portman and Julianne Moore in a scene from,https://www.npr.org/2023/12/01/1197958539/may-december-shines-a-glaring-light-on-a-dark-tabloid-story
How He Got Caught,668629660,"November 19, 2018",Podcasts & Shows,True,"For anyone who's followed the Nassar case, Rachael Denhollander's face is a familiar one.",https://www.npr.org/2018/11/16/668629660/how-he-got-caught
Best Christmas gift I ever received,1197958582,"December 5, 2023",Podcasts & Shows,True,"What's the best Christmas gift you ever received? You probably didn't have to think about it; you knew it in your bones. Today, we're talking about the actual, tangible gift you found waiting for you under the tree and still think about it from time to time.",https://www.npr.org/2023/12/05/1197958582/best-christmas-gift-i-ever-received
'Colin From Accounts' deserves a raise,1197958569,"December 4, 2023",Podcasts & Shows,True,Harriet Dyer and Patrick Brammall in a scene from,https://www.npr.org/2023/12/04/1197958569/colin-from-accounts-deserves-a-raise
"Jay Williams in the hot seat, with Code Switch's Gene Demby",1131333823,"October 25, 2022",Podcasts & Shows,True,Gene Demby and Jay Williams,https://www.npr.org/2022/10/25/1131333823/jay-williams-in-the-hot-seat-with-code-switchs-gene-demby
"Fat Joe on witnessing the birth of hip hop, and how he stays in the game",1129630172,"October 18, 2022",Podcasts & Shows,True,Fat Joe,https://www.npr.org/2022/10/18/1129630172/fat-joe-on-witnessing-the-birth-of-hip-hop-and-how-he-stays-in-the-game
"Remix: Gabrielle Union, Bobby Hundreds, and Larry Miller on parenthood",1133120042,"November 1, 2022",Podcasts & Shows,True,"Gabrielle Union, Larry Miller, and Bobby Hundreds",https://www.npr.org/2022/11/01/1133120042/remix-gabrielle-union-bobby-hundreds-and-larry-miller-on-parenthood
Fan Favorites: How to Speak Bad English,1175305103,"May 10, 2023",Podcasts & Shows,True,Global communication specialist Heather Hansen has a stock of English language books that no longer fit her approach to teaching.,https://www.npr.org/2023/05/10/1175305103/fan-favorites-how-to-speak-bad-english
"New Season: Love Commandos. Starting Wednesday, July 26th. ",1189004022,"July 21, 2023",Podcasts & Shows,True,"They seemed like superheroes. In 2012, when a group called the Love Commandos leapt into the public eye in India, they pledged to do something that most government agencies and police departments couldn't do: protect and shelter young lovers on the run.",https://www.npr.org/2023/07/20/1189004022/new-season-love-commandos-starting-wednesday-july-26th
Introducing: No Compromise,906896875,"August 28, 2020",Podcasts & Shows,True,A new investigative series that takes you deep into the most uncompromising corner of the gun debate.,https://www.npr.org/2020/08/27/906896875/introducing-no-compromise
Hold the Sitar: The Making of the Love Commandos Theme Song,1196573616,"August 30, 2023",Podcasts & Shows,True,In this bonus episode of,https://www.npr.org/2023/08/29/1196573616/hold-the-sitar-the-making-of-the-love-commandos-theme-song
A World Where The NRA Is Soft On Guns,910518992,"September 8, 2020",Podcasts & Shows,True,"Participants pose with a sign that reads 'come and take it' as the Virginia Gun Rally organized by the Virginia Citizens Defense League comes to an end outside the Virginia State Capitol in Richmond, Va. on Jan. 20. Thousands converged both to rally and to lobby lawmakers against proposed state gun restrictions.",https://www.npr.org/2020/09/07/910518992/a-world-where-the-nra-is-soft-on-guns
The Facebook Flock,912858822,"September 15, 2020",Podcasts & Shows,True,"Carolyn Ricker, of Newnan, Ga., says she likes to watch Facebook videos from her favorite no-compromise gun group while she sews.",https://www.npr.org/2020/09/14/912858822/the-facebook-flock
Does No-Compromising Really Work?,915445969,"September 22, 2020",Podcasts & Shows,True,"Aaron Dorr heads pro-gun groups in several states across the country, but he films most of his Facebook Live videos in front of an interchangeable set of banners.",https://www.npr.org/2020/09/21/915445969/does-no-compromising-really-work
Building The Kingdom Of God,917922164,"September 29, 2020",Podcasts & Shows,True,"Paul Dorr was convicted of criminal mischief in Orange City, Iowa, after burning library books on a Facebook Live video.",https://www.npr.org/2020/09/28/917922164/building-the-kingdom-of-god
The Making Of 'No Compromise',920474156,"October 6, 2020",Podcasts & Shows,True,"A behind the scenes conversation with hosts Lisa Hagen and Chris Haxel. We hear how they got the idea for the show, their own relationship to guns and what's next on the podcast. Plus questions from fans like you.",https://www.npr.org/2020/10/05/920474156/the-making-of-no-compromise
A One-Man Propaganda Band,925558235,"October 20, 2020",Podcasts & Shows,True,"Gun rights supporters, including militia members, rally in support of gun rights in September 2018 during an event put on by the Idaho Second Amendment Alliance.",https://www.npr.org/2020/10/19/925558235/a-one-man-propaganda-band
The Original No Compromisers,923143195,"October 13, 2020",Podcasts & Shows,True,"A 1992 meeting in Estes Park, Colorado, organized by Christian Identity Pastor Pete Peters, was recorded on cassette tapes.",https://www.npr.org/2020/10/12/923143195/the-original-no-compromisers
Donde habitan las tortugas,1198908019,"October 3, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/10/03/1198908019/radio-ambulante-draft-10-03-2023
Taking Cover,1168389482,"April 7, 2023",Podcasts & Shows,True,"NPR's Pentagon Correspondent, Tom Bowman, receives a shocking tip from a trusted source: A deadly explosion during the Iraq War was an accident—friendly fire, covered up by the Marine Corps—and the son of a powerful politician may have been involved. Listen to the full story in NPR's",https://www.npr.org/2023/04/06/1168389482/taking-cover
La desobediente,1198908102,"October 17, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/10/17/1198908102/radio-ambulante-draft-10-17-2023
Ese no soy yo,1198908043,"October 10, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/10/10/1198908043/radio-ambulante-draft-10-10-2023
Refugio fantasma,1198908124,"October 24, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/10/24/1198908124/radio-ambulante-draft-10-24-2023
El día que te vayas,1198908162,"October 31, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/10/31/1198908162/radio-ambulante-draft-10-31-2023
La sala que era un cerebro [repeat],1198908183,"November 7, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/11/07/1198908183/radio-ambulante-draft-11-07-2023
Romper el silencio,1198908224,"November 21, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/11/21/1198908224/radio-ambulante-draft-11-21-2023
Acuario de papel,1198908201,"November 14, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/11/14/1198908201/radio-ambulante-draft-11-14-2023
El misterio de los fósiles,1198908249,"November 28, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/11/28/1198908249/radio-ambulante-draft-11-28-2023
Bienvenida a tu casa,1198908265,"December 5, 2023",Podcasts & Shows,True,Radio Ambulante es un podcast que cuenta las historias de América Latina.,https://www.npr.org/2023/12/05/1198908265/radio-ambulante-draft-12-05-2023
Remix: Kelly Rowland and Denzel Curry on fame,1136536188,"November 22, 2022",Podcasts & Shows,True,Denzel Curry and Kelly Rowland,https://www.npr.org/2022/11/14/1136536188/remix-kelly-rowland-and-denzel-curry-on-fame
"Remix: Dapper Dan, Deion Sanders, and Jon Gray on mentorship",1135044036,"November 8, 2022",Podcasts & Shows,True,"Dapper Dan, Deion Sanders, and Jon Gray",https://www.npr.org/2022/11/07/1135044036/remix-dapper-dan-deion-sanders-and-jon-gray-on-mentorship
"Remix: Dave Zirin, Michele Roberts, and Stephen A. Smith on sports and politics",1136535068,"November 15, 2022",Podcasts & Shows,True,"Michele Roberts, Stephen A. Smith, and Dave Zirin",https://www.npr.org/2022/11/14/1136535068/remix-dave-zirin-michele-roberts-and-stephen-a-smith-on-sports-and-politics
Remix: Niecy Nash and Colton Underwood on love,1140732088,"December 6, 2022",Podcasts & Shows,True,Niecy Nash and Colton Underwood,https://www.npr.org/2022/12/05/1140732088/remix-niecy-nash-and-colton-underwood-on-love
"Remix: Megan Rapinoe, Magic Johnson, and Coach K on athletic excellence",1136536759,"November 29, 2022",Podcasts & Shows,True,"Magic Johnson, Coach K, Megan Rapinoe",https://www.npr.org/2022/11/14/1136536759/remix-megan-rapinoe-magic-johnson-and-coach-k-on-athletic-excellence
